GEO_ID,NAME,FIPS,Cty_Name,St_Name,FlashFloodCount
0500000US51165,"Rockingham County, Virginia",51165,Rockingham County,Virginia,0
0500000US51167,"Russell County, Virginia",51167,Russell County,Virginia,0
0500000US51169,"Scott County, Virginia",51169,Scott County,Virginia,1
0500000US51171,"Shenandoah County, Virginia",51171,Shenandoah County,Virginia,3
0500000US51173,"Smyth County, Virginia",51173,Smyth County,Virginia,1
0500000US51175,"Southampton County, Virginia",51175,Southampton County,Virginia,0
0500000US51177,"Spotsylvania County, Virginia",51177,Spotsylvania County,Virginia,0
0500000US51179,"Stafford County, Virginia",51179,Stafford County,Virginia,0
0500000US51181,"Surry County, Virginia",51181,Surry County,Virginia,3
0500000US51183,"Sussex County, Virginia",51183,Sussex County,Virginia,3
0500000US51185,"Tazewell County, Virginia",51185,Tazewell County,Virginia,2
0500000US51187,"Warren County, Virginia",51187,Warren County,Virginia,0
0500000US51191,"Washington County, Virginia",51191,Washington County,Virginia,2
0500000US51193,"Westmoreland County, Virginia",51193,Westmoreland County,Virginia,0
0500000US51195,"Wise County, Virginia",51195,Wise County,Virginia,3
0500000US51197,"Wythe County, Virginia",51197,Wythe County,Virginia,0
0500000US51199,"York County, Virginia",51199,York County,Virginia,0
0500000US51510,"Alexandria city, Virginia",51510,Alexandria city,Virginia,0
0500000US51520,"Bristol city, Virginia",51520,Bristol city,Virginia,0
0500000US51530,"Buena Vista city, Virginia",51530,Buena Vista city,Virginia,0
0500000US51540,"Charlottesville city, Virginia",51540,Charlottesville city,Virginia,2
0500000US51550,"Chesapeake city, Virginia",51550,Chesapeake city,Virginia,0
0500000US51570,"Colonial Heights city, Virginia",51570,Colonial Heights city,Virginia,0
0500000US51580,"Covington city, Virginia",51580,Covington city,Virginia,0
0500000US51590,"Danville city, Virginia",51590,Danville city,Virginia,0
0500000US51595,"Emporia city, Virginia",51595,Emporia city,Virginia,0
0500000US51600,"Fairfax city, Virginia",51600,Fairfax city,Virginia,0
0500000US51610,"Falls Church city, Virginia",51610,Falls Church city,Virginia,0
0500000US51620,"Franklin city, Virginia",51620,Franklin city,Virginia,0
0500000US51630,"Fredericksburg city, Virginia",51630,Fredericksburg city,Virginia,0
0500000US51640,"Galax city, Virginia",51640,Galax city,Virginia,0
0500000US51650,"Hampton city, Virginia",51650,Hampton city,Virginia,1
0500000US51660,"Harrisonburg city, Virginia",51660,Harrisonburg city,Virginia,0
0500000US51670,"Hopewell city, Virginia",51670,Hopewell city,Virginia,0
0500000US51678,"Lexington city, Virginia",51678,Lexington city,Virginia,0
0500000US51680,"Lynchburg city, Virginia",51680,Lynchburg city,Virginia,0
0500000US51683,"Manassas city, Virginia",51683,Manassas city,Virginia,0
0500000US51685,"Manassas Park city, Virginia",51685,Manassas Park city,Virginia,0
0500000US51690,"Martinsville city, Virginia",51690,Martinsville city,Virginia,0
0500000US51700,"Newport News city, Virginia",51700,Newport News city,Virginia,4
0500000US51710,"Norfolk city, Virginia",51710,Norfolk city,Virginia,0
0500000US51720,"Norton city, Virginia",51720,Norton city,Virginia,0
0500000US51730,"Petersburg city, Virginia",51730,Petersburg city,Virginia,1
0500000US51735,"Poquoson city, Virginia",51735,Poquoson city,Virginia,0
0500000US51740,"Portsmouth city, Virginia",51740,Portsmouth city,Virginia,0
0500000US51750,"Radford city, Virginia",51750,Radford city,Virginia,0
0500000US51760,"Richmond city, Virginia",51760,Richmond city,Virginia,3
